Estado,dosis,descarga,Poblacion_INEGI,dosis_per_capita,Dia
Colima,288429.0,2021-07-14 18:33:30,729435,0.3954142589812663,2021-07-14
Durango,638654.0,2021-07-14 18:33:30,1829475,0.3490914060044548,2021-07-14
Estado de México,6030796.0,2021-07-14 18:33:30,16984191,0.35508291210337894,2021-07-14
Guanajuato,2249763.0,2021-07-14 18:33:30,6154885,0.36552478234767993,2021-07-14
Guerrero,991672.0,2021-07-14 18:33:30,3526268,0.2812242291283589,2021-07-14
Hidalgo,1139922.0,2021-07-14 18:33:30,3079635,0.3701484104447443,2021-07-14
Jalisco,2437811.0,2021-07-14 18:33:30,8297100,0.29381482686721866,2021-07-14
Michoacán,1288295.0,2021-07-14 18:33:30,4745316,0.27148771546510286,2021-07-14
Morelos,764542.0,2021-07-14 18:33:30,1970572,0.38797973380318,2021-07-14
Nayarit,458169.0,2021-07-14 18:33:30,1234288,0.3712010487017617,2021-07-14
Nuevo León,2368116.0,2021-07-14 18:33:30,5766310,0.4106813542802936,2021-07-14
Oaxaca,1132374.0,2021-07-14 18:33:30,4122760,0.2746640599986417,2021-07-14
Puebla,1531172.0,2021-07-14 18:33:30,6577607,0.23278557080105272,2021-07-14
Querétaro,,2021-07-14 18:33:30,2361643,,2021-07-14
Quintana Roo,673842.0,2021-07-14 18:33:30,1836963,0.3668239371179496,2021-07-14
San Luis Potosí,1033751.0,2021-07-14 18:33:30,2820313,0.3665376857107704,2021-07-14
Sinaloa,1396339.0,2021-07-14 18:33:30,3024718,0.46164270520425377,2021-07-14
Sonora,1099623.0,2021-07-14 18:33:30,2942115,0.37375255555952097,2021-07-14
Tabasco,912322.0,2021-07-14 18:33:30,2401722,0.37986161595721735,2021-07-14
Tamaulipas,1431882.0,2021-07-14 18:33:30,3522081,0.40654431286503634,2021-07-14
Tlaxcala,381738.0,2021-07-14 18:33:30,1322052,0.28874658485445354,2021-07-14
Veracruz,2347668.0,2021-07-14 18:33:30,8059109,0.2913061481114103,2021-07-14
Yucatán,1275597.0,2021-07-14 18:33:30,2317082,0.5505187127602735,2021-07-14
Zacatecas,693754.0,2021-07-14 18:33:30,1620280,0.4281692053225368,2021-07-14
Aguascalientes,623608.0,2021-07-22 19:32:42,1424099,0.4378965226434398,2021-07-22
Baja California,2616423.0,2021-07-22 19:32:42,3760801,0.6957089726364144,2021-07-22
Baja California Sur,445816.0,2021-07-22 19:32:42,794605,0.5610536052504075,2021-07-22
CDMX,6909665.0,2021-07-22 19:32:42,9200318,0.7510245841502435,2021-07-22
Campeche,331139.0,2021-07-22 19:32:42,924069,0.3583487813139495,2021-07-22
Chiapas,960264.0,2021-07-22 19:32:42,5515984,0.17408752454684423,2021-07-22
Chihuahua,2093615.0,2021-07-22 19:32:42,3734230,0.5606550748079256,2021-07-22
Coahuila,1393147.0,2021-07-22 19:32:42,3140612,0.4435909306848474,2021-07-22
Colima,312025.0,2021-07-22 19:32:42,729435,0.4277625833693201,2021-07-22
Durango,673391.0,2021-07-22 19:32:42,1829475,0.3680788204266251,2021-07-22
Estado de México,6702643.0,2021-07-22 19:32:42,16984191,0.39464010973498825,2021-07-22
Guanajuato,2512913.0,2021-07-22 19:32:42,6154885,0.4082794398270642,2021-07-22
Guerrero,1071323.0,2021-07-22 19:32:42,3526268,0.3038121322599417,2021-07-22
Hidalgo,1300147.0,2021-07-22 19:32:42,3079635,0.42217567991011923,2021-07-22
Jalisco,2839232.0,2021-07-22 19:32:42,8297100,0.34219570693374796,2021-07-22
Michoacán,1525782.0,2021-07-22 19:32:42,4745316,0.3215343298528486,2021-07-22
Morelos,839186.0,2021-07-22 19:32:42,1970572,0.4258590906599708,2021-07-22
Nayarit,511215.0,2021-07-22 19:32:42,1234288,0.414178052448051,2021-07-22
Nuevo León,2526951.0,2021-07-22 19:32:42,5766310,0.43822669957043586,2021-07-22
Oaxaca,1219749.0,2021-07-22 19:32:42,4122760,0.29585738679913454,2021-07-22
Puebla,1557676.0,2021-07-22 19:32:42,6577607,0.23681499974078718,2021-07-22
Querétaro,925608.0,2021-07-22 19:32:42,2361643,0.3919339205798675,2021-07-22
Quintana Roo,770521.0,2021-07-22 19:32:42,1836963,0.4194537396779358,2021-07-22
San Luis Potosí,1123273.0,2021-07-22 19:32:42,2820313,0.3982795526595807,2021-07-22
Sinaloa,1695828.0,2021-07-22 19:32:42,3024718,0.5606565636862676,2021-07-22
Sonora,1329549.0,2021-07-22 19:32:42,2942115,0.4519024579256759,2021-07-22
Tabasco,961453.0,2021-07-22 19:32:42,2401722,0.40031818836651367,2021-07-22
Tamaulipas,1563868.0,2021-07-22 19:32:42,3522081,0.4440181812967958,2021-07-22
Tlaxcala,473129.0,2021-07-22 19:32:42,1322052,0.3578747280742361,2021-07-22
Veracruz,2759512.0,2021-07-22 19:32:42,8059109,0.3424090678014158,2021-07-22
Yucatán,1404789.0,2021-07-22 19:32:42,2317082,0.6062750476677131,2021-07-22
Zacatecas,731565.0,2021-07-22 19:32:42,1620280,0.4515052953810452,2021-07-22
Aguascalientes,672046.0,2021-09-13 15:11:45,1424099,0.47190960740791194,2021-09-13
Baja California,2619957.0,2021-09-13 15:11:45,3760801,0.6966486660687444,2021-09-13
Baja California Sur,495096.0,2021-09-13 15:11:45,794605,0.6230718407258953,2021-09-13
CDMX,7141549.0,2021-09-13 15:11:45,9200318,0.7762284955802614,2021-09-13
Campeche,339468.0,2021-09-13 15:11:45,924069,0.36736217749973216,2021-09-13
Chiapas,1084785.0,2021-09-13 15:11:45,5515984,0.19666210054271369,2021-09-13
Chihuahua,2330506.0,2021-09-13 15:11:45,3734230,0.6240927848579225,2021-09-13
Coahuila,1422268.0,2021-09-13 15:11:45,3140612,0.4528633272750661,2021-09-13
Colima,340099.0,2021-09-13 15:11:45,729435,0.4662499057489701,2021-09-13
Durango,673625.0,2021-09-13 15:11:45,1829475,0.36820672597329834,2021-09-13
Estado de México,6954905.0,2021-09-13 15:11:45,16984191,0.40949286309839544,2021-09-13
Guanajuato,2589607.0,2021-09-13 15:11:45,6154885,0.4207401113099595,2021-09-13
Guerrero,1100838.0,2021-09-13 15:11:45,3526268,0.31218217106584073,2021-09-13
Hidalgo,1341619.0,2021-09-13 15:11:45,3079635,0.43564221084641525,2021-09-13
Jalisco,2951668.0,2021-09-13 15:11:45,8297100,0.3557469477287245,2021-09-13
Michoacán,1615778.0,2021-09-13 15:11:45,4745316,0.34049955787981245,2021-09-13
Morelos,862767.0,2021-09-13 15:11:45,1970572,0.4378256668622106,2021-09-13
Nayarit,517765.0,2021-09-13 15:11:45,1234288,0.41948475558378595,2021-09-13
Nuevo León,2557127.0,2021-09-13 15:11:45,5766310,0.4434598556095666,2021-09-13
Oaxaca,1250683.0,2021-09-13 15:11:45,4122760,0.30336061279337145,2021-09-13
Puebla,1579490.0,2021-09-13 15:11:45,6577607,0.24013140341160547,2021-09-13
