Estado,vacunados,descarga
Aguascalientes,1650383,13-Apr-2022 (03:55:05)
Baja California,3276777,13-Apr-2022 (03:55:05)
Baja California Sur,947698,13-Apr-2022 (03:55:05)
Campeche,1164995,13-Apr-2022 (03:55:05)
Chiapas,3771407,13-Apr-2022 (03:55:05)
Chihuahua,4527102,13-Apr-2022 (03:55:05)
Coahuila,3650430,13-Apr-2022 (03:55:05)
Colima,863882,13-Apr-2022 (03:55:05)
CDMX,13156558,13-Apr-2022 (03:55:05)
Durango,2036751,13-Apr-2022 (03:55:05)
Guerrero,2931834,13-Apr-2022 (03:55:05)
Hidalgo,3750376,13-Apr-2022 (03:55:05)
Jalisco,8493172,13-Apr-2022 (03:55:05)
Estado de México,22460360,13-Apr-2022 (03:55:05)
Michoacán,4557489,13-Apr-2022 (03:55:05)
Morelos,2251565,13-Apr-2022 (03:55:05)
Nayarit,1346349,13-Apr-2022 (03:55:05)
Nuevo León,7193423,13-Apr-2022 (03:55:05)
Oaxaca,3580404,13-Apr-2022 (03:55:05)
Puebla,7069302,13-Apr-2022 (03:55:05)
Querétaro,3108862,13-Apr-2022 (03:55:05)
Quintana Roo,2366344,13-Apr-2022 (03:55:05)
San Luis Potosí,3233287,13-Apr-2022 (03:55:05)
Sinaloa,3832082,13-Apr-2022 (03:55:05)
Sonora,3529952,13-Apr-2022 (03:55:05)
Tabasco,2966754,13-Apr-2022 (03:55:05)
Tamaulipas,4234931,13-Apr-2022 (03:55:05)
Tlaxcala,1637982,13-Apr-2022 (03:55:05)
Veracruz,7898309,13-Apr-2022 (03:55:05)
Yucatán,2917155,13-Apr-2022 (03:55:05)
Zacatecas,1806999,13-Apr-2022 (03:55:05)
Guanajuato,7062547,13-Apr-2022 (03:55:05)
