Estado,vacunados,descarga
Aguascalientes,672046,19-Aug-2021 (09:21:19)
Baja California,2619957,19-Aug-2021 (09:21:19)
Baja California Sur,495096,19-Aug-2021 (09:21:19)
Campeche,339468,19-Aug-2021 (09:21:19)
Chiapas,1084785,19-Aug-2021 (09:21:19)
Chihuahua,2330506,19-Aug-2021 (09:21:19)
Coahuila,1422268,19-Aug-2021 (09:21:19)
Colima,340099,19-Aug-2021 (09:21:19)
CDMX,7141549,19-Aug-2021 (09:21:19)
Durango,673625,19-Aug-2021 (09:21:19)
Guerrero,1100838,19-Aug-2021 (09:21:19)
Hidalgo,1341619,19-Aug-2021 (09:21:19)
Jalisco,2951668,19-Aug-2021 (09:21:19)
Estado de México,6954905,19-Aug-2021 (09:21:19)
Michoacán,1615778,19-Aug-2021 (09:21:19)
Morelos,862767,19-Aug-2021 (09:21:19)
Nayarit,517765,19-Aug-2021 (09:21:19)
Nuevo León,2557127,19-Aug-2021 (09:21:19)
Oaxaca,1250683,19-Aug-2021 (09:21:19)
Puebla,1579490,19-Aug-2021 (09:21:19)
Querétaro,966324,19-Aug-2021 (09:21:19)
Quintana Roo,779936,19-Aug-2021 (09:21:19)
San Luis Potosí,1143918,19-Aug-2021 (09:21:19)
Sinaloa,1732466,19-Aug-2021 (09:21:19)
Sonora,1389838,19-Aug-2021 (09:21:19)
Tabasco,964660,19-Aug-2021 (09:21:19)
Tamaulipas,1604805,19-Aug-2021 (09:21:19)
Tlaxcala,532018,19-Aug-2021 (09:21:19)
Veracruz,2820734,19-Aug-2021 (09:21:19)
Yucatán,1413533,19-Aug-2021 (09:21:19)
Zacatecas,752720,19-Aug-2021 (09:21:19)
Guanajuato,2589607,19-Aug-2021 (09:21:19)
