Estado,vacunados,descarga
Aguascalientes,672046,09-Aug-2021 (17:05:18)
Baja California,2619957,09-Aug-2021 (17:05:18)
Baja California Sur,495096,09-Aug-2021 (17:05:18)
Campeche,339468,09-Aug-2021 (17:05:18)
Chiapas,1084785,09-Aug-2021 (17:05:18)
Chihuahua,2330506,09-Aug-2021 (17:05:18)
Coahuila,1422268,09-Aug-2021 (17:05:18)
Colima,340099,09-Aug-2021 (17:05:18)
CDMX,7141549,09-Aug-2021 (17:05:18)
Durango,673625,09-Aug-2021 (17:05:18)
Guerrero,1100838,09-Aug-2021 (17:05:18)
Hidalgo,1341619,09-Aug-2021 (17:05:18)
Jalisco,2951668,09-Aug-2021 (17:05:18)
Estado de México,6954905,09-Aug-2021 (17:05:18)
Michoacán,1615778,09-Aug-2021 (17:05:18)
Morelos,862767,09-Aug-2021 (17:05:18)
Nayarit,517765,09-Aug-2021 (17:05:18)
Nuevo León,2557127,09-Aug-2021 (17:05:18)
Oaxaca,1250683,09-Aug-2021 (17:05:18)
Puebla,1579490,09-Aug-2021 (17:05:18)
Querétaro,966324,09-Aug-2021 (17:05:18)
Quintana Roo,779936,09-Aug-2021 (17:05:18)
San Luis Potosí,1143918,09-Aug-2021 (17:05:18)
Sinaloa,1732466,09-Aug-2021 (17:05:18)
Sonora,1389838,09-Aug-2021 (17:05:18)
Tabasco,964660,09-Aug-2021 (17:05:18)
Tamaulipas,1604805,09-Aug-2021 (17:05:18)
Tlaxcala,532018,09-Aug-2021 (17:05:18)
Veracruz,2820734,09-Aug-2021 (17:05:18)
Yucatán,1413533,09-Aug-2021 (17:05:18)
Zacatecas,752720,09-Aug-2021 (17:05:18)
Guanajuato,2589607,09-Aug-2021 (17:05:18)
