Estado,vacunados,descarga
Aguascalientes,592376.0,14-Jul-2021 (18:33:30)
Baja California,2430450.0,14-Jul-2021 (18:33:30)
Baja California Sur,395224.0,14-Jul-2021 (18:33:30)
Campeche,330066.0,14-Jul-2021 (18:33:30)
Chiapas,898146.0,14-Jul-2021 (18:33:30)
Chihuahua,1430964.0,14-Jul-2021 (18:33:30)
Coahuila,1260393.0,14-Jul-2021 (18:33:30)
Colima,288429.0,14-Jul-2021 (18:33:30)
CDMX,5810244.0,14-Jul-2021 (18:33:30)
Durango,638654.0,14-Jul-2021 (18:33:30)
Guerrero,991672.0,14-Jul-2021 (18:33:30)
Hidalgo,1139922.0,14-Jul-2021 (18:33:30)
Jalisco,2437811.0,14-Jul-2021 (18:33:30)
Estado de México,6030796.0,14-Jul-2021 (18:33:30)
Michoacán,1288295.0,14-Jul-2021 (18:33:30)
Morelos,764542.0,14-Jul-2021 (18:33:30)
Nayarit,458169.0,14-Jul-2021 (18:33:30)
Nuevo León,2368116.0,14-Jul-2021 (18:33:30)
Oaxaca,1132374.0,14-Jul-2021 (18:33:30)
Puebla,1531172.0,14-Jul-2021 (18:33:30)
Querétaro,,14-Jul-2021 (18:33:30)
Quintana Roo,673842.0,14-Jul-2021 (18:33:30)
San Luis Potosí,1033751.0,14-Jul-2021 (18:33:30)
Sinaloa,1396339.0,14-Jul-2021 (18:33:30)
Sonora,1099623.0,14-Jul-2021 (18:33:30)
Tabasco,912322.0,14-Jul-2021 (18:33:30)
Tamaulipas,1431882.0,14-Jul-2021 (18:33:30)
Tlaxcala,381738.0,14-Jul-2021 (18:33:30)
Veracruz,2347668.0,14-Jul-2021 (18:33:30)
Yucatán,1275597.0,14-Jul-2021 (18:33:30)
Zacatecas,693754.0,14-Jul-2021 (18:33:30)
Guanajuato,2249763.0,14-Jul-2021 (18:33:30)
