Estado,vacunados,descarga
Aguascalientes,623608,20-Jul-2021 (19:38:51)
Baja California,2616423,20-Jul-2021 (19:38:51)
Baja California Sur,445816,20-Jul-2021 (19:38:51)
Campeche,331139,20-Jul-2021 (19:38:51)
Chiapas,960264,20-Jul-2021 (19:38:51)
Chihuahua,2093615,20-Jul-2021 (19:38:51)
Coahuila,1393147,20-Jul-2021 (19:38:51)
Colima,312025,20-Jul-2021 (19:38:51)
CDMX,6909665,20-Jul-2021 (19:38:51)
Durango,673391,20-Jul-2021 (19:38:51)
Guerrero,1071323,20-Jul-2021 (19:38:51)
Hidalgo,1300147,20-Jul-2021 (19:38:51)
Jalisco,2839232,20-Jul-2021 (19:38:51)
Estado de México,6702643,20-Jul-2021 (19:38:51)
Michoacán,1525782,20-Jul-2021 (19:38:51)
Morelos,839186,20-Jul-2021 (19:38:51)
Nayarit,511215,20-Jul-2021 (19:38:51)
Nuevo León,2526951,20-Jul-2021 (19:38:51)
Oaxaca,1219749,20-Jul-2021 (19:38:51)
Puebla,1557676,20-Jul-2021 (19:38:51)
Querétaro,925608,20-Jul-2021 (19:38:51)
Quintana Roo,770521,20-Jul-2021 (19:38:51)
San Luis Potosí,1123273,20-Jul-2021 (19:38:51)
Sinaloa,1695828,20-Jul-2021 (19:38:51)
Sonora,1329549,20-Jul-2021 (19:38:51)
Tabasco,961453,20-Jul-2021 (19:38:51)
Tamaulipas,1563868,20-Jul-2021 (19:38:51)
Tlaxcala,473129,20-Jul-2021 (19:38:51)
Veracruz,2759512,20-Jul-2021 (19:38:51)
Yucatán,1404789,20-Jul-2021 (19:38:51)
Zacatecas,731565,20-Jul-2021 (19:38:51)
Guanajuato,2512913,20-Jul-2021 (19:38:51)
