Estado,vacunados,descarga
Aguascalientes,494384.0,24-Jun-2021 (19:49:40)
Baja California,1871559.0,24-Jun-2021 (19:49:40)
Baja California Sur,298986.0,24-Jun-2021 (19:49:40)
Campeche,324534.0,24-Jun-2021 (19:49:40)
Chiapas,790397.0,24-Jun-2021 (19:49:40)
Chihuahua,1213451.0,24-Jun-2021 (19:49:40)
Coahuila,1113121.0,24-Jun-2021 (19:49:40)
Colima,269591.0,24-Jun-2021 (19:49:40)
CDMX,5131547.0,24-Jun-2021 (19:49:40)
Durango,587670.0,24-Jun-2021 (19:49:40)
Guerrero,914118.0,24-Jun-2021 (19:49:40)
Hidalgo,981557.0,24-Jun-2021 (19:49:40)
Jalisco,2164087.0,24-Jun-2021 (19:49:40)
Estado de México,5328590.0,24-Jun-2021 (19:49:40)
Michoacán,1215727.0,24-Jun-2021 (19:49:40)
Morelos,700952.0,24-Jun-2021 (19:49:40)
Nayarit,437672.0,24-Jun-2021 (19:49:40)
Nuevo León,2169783.0,24-Jun-2021 (19:49:40)
Oaxaca,1026449.0,24-Jun-2021 (19:49:40)
Puebla,1345902.0,24-Jun-2021 (19:49:40)
Querétaro,,24-Jun-2021 (19:49:40)
Quintana Roo,548816.0,24-Jun-2021 (19:49:40)
San Luis Potosí,854565.0,24-Jun-2021 (19:49:40)
Sinaloa,1150890.0,24-Jun-2021 (19:49:40)
Sonora,927697.0,24-Jun-2021 (19:49:40)
Tabasco,880375.0,24-Jun-2021 (19:49:40)
Tamaulipas,1308061.0,24-Jun-2021 (19:49:40)
Tlaxcala,365733.0,24-Jun-2021 (19:49:40)
Veracruz,2083068.0,24-Jun-2021 (19:49:40)
Yucatán,1049838.0,24-Jun-2021 (19:49:40)
Zacatecas,615438.0,24-Jun-2021 (19:49:40)
Guanajuato,1901367.0,24-Jun-2021 (19:49:40)
