Estado,vacunados,descarga
Aguascalientes,672046,04-Aug-2021 (18:29:54)
Baja California,2619957,04-Aug-2021 (18:29:54)
Baja California Sur,495096,04-Aug-2021 (18:29:54)
Campeche,339468,04-Aug-2021 (18:29:54)
Chiapas,1084785,04-Aug-2021 (18:29:54)
Chihuahua,2330506,04-Aug-2021 (18:29:54)
Coahuila,1422268,04-Aug-2021 (18:29:54)
Colima,340099,04-Aug-2021 (18:29:54)
CDMX,7141549,04-Aug-2021 (18:29:54)
Durango,673625,04-Aug-2021 (18:29:54)
Guerrero,1100838,04-Aug-2021 (18:29:54)
Hidalgo,1341619,04-Aug-2021 (18:29:54)
Jalisco,2951668,04-Aug-2021 (18:29:54)
Estado de México,6954905,04-Aug-2021 (18:29:54)
Michoacán,1615778,04-Aug-2021 (18:29:54)
Morelos,862767,04-Aug-2021 (18:29:54)
Nayarit,517765,04-Aug-2021 (18:29:54)
Nuevo León,2557127,04-Aug-2021 (18:29:54)
Oaxaca,1250683,04-Aug-2021 (18:29:54)
Puebla,1579490,04-Aug-2021 (18:29:54)
Querétaro,966324,04-Aug-2021 (18:29:54)
Quintana Roo,779936,04-Aug-2021 (18:29:54)
San Luis Potosí,1143918,04-Aug-2021 (18:29:54)
Sinaloa,1732466,04-Aug-2021 (18:29:54)
Sonora,1389838,04-Aug-2021 (18:29:54)
Tabasco,964660,04-Aug-2021 (18:29:54)
Tamaulipas,1604805,04-Aug-2021 (18:29:54)
Tlaxcala,532018,04-Aug-2021 (18:29:54)
Veracruz,2820734,04-Aug-2021 (18:29:54)
Yucatán,1413533,04-Aug-2021 (18:29:54)
Zacatecas,752720,04-Aug-2021 (18:29:54)
Guanajuato,2589607,04-Aug-2021 (18:29:54)
