Estado,vacunados,descarga
Aguascalientes,1366140,05-Dec-2021 (03:42:26)
Baja California,2662407,05-Dec-2021 (03:42:26)
Baja California Sur,795650,05-Dec-2021 (03:42:26)
Campeche,954607,05-Dec-2021 (03:42:26)
Chiapas,2408907,05-Dec-2021 (03:42:26)
Chihuahua,3642611,05-Dec-2021 (03:42:26)
Coahuila,2375177,05-Dec-2021 (03:42:26)
Colima,645770,05-Dec-2021 (03:42:26)
CDMX,11706088,05-Dec-2021 (03:42:26)
Durango,1388317,05-Dec-2021 (03:42:26)
Guerrero,2257674,05-Dec-2021 (03:42:26)
Hidalgo,2834862,05-Dec-2021 (03:42:26)
Jalisco,5815250,05-Dec-2021 (03:42:26)
Estado de México,13409000,05-Dec-2021 (03:42:26)
Michoacán,3603368,05-Dec-2021 (03:42:26)
Morelos,1808780,05-Dec-2021 (03:42:26)
Nayarit,1008004,05-Dec-2021 (03:42:26)
Nuevo León,3573989,05-Dec-2021 (03:42:26)
Oaxaca,2550136,05-Dec-2021 (03:42:26)
Puebla,4675270,05-Dec-2021 (03:42:26)
Querétaro,2343603,05-Dec-2021 (03:42:26)
Quintana Roo,1827346,05-Dec-2021 (03:42:26)
San Luis Potosí,2361923,05-Dec-2021 (03:42:26)
Sinaloa,3272155,05-Dec-2021 (03:42:26)
Sonora,2685212,05-Dec-2021 (03:42:26)
Tabasco,1981460,05-Dec-2021 (03:42:26)
Tamaulipas,3697767,05-Dec-2021 (03:42:26)
Tlaxcala,1248872,05-Dec-2021 (03:42:26)
Veracruz,5848645,05-Dec-2021 (03:42:26)
Yucatán,2260970,05-Dec-2021 (03:42:26)
Zacatecas,1432749,05-Dec-2021 (03:42:26)
Guanajuato,4416973,05-Dec-2021 (03:42:26)
