Estado,vacunados,descarga
Aguascalientes,401501.0,12-Jun-2021 (22:34:12)
Baja California,877750.0,12-Jun-2021 (22:34:12)
Baja California Sur,228665.0,12-Jun-2021 (22:34:12)
Campeche,269908.0,12-Jun-2021 (22:34:12)
Chiapas,647216.0,12-Jun-2021 (22:34:12)
Chihuahua,1036994.0,12-Jun-2021 (22:34:12)
Coahuila,908968.0,12-Jun-2021 (22:34:12)
Colima,248409.0,12-Jun-2021 (22:34:12)
CDMX,4714855.0,12-Jun-2021 (22:34:12)
Durango,540950.0,12-Jun-2021 (22:34:12)
Guerrero,815425.0,12-Jun-2021 (22:34:12)
Hidalgo,910034.0,12-Jun-2021 (22:34:12)
Jalisco,1726218.0,12-Jun-2021 (22:34:12)
Estado de México,4631804.0,12-Jun-2021 (22:34:12)
Michoacán,1022955.0,12-Jun-2021 (22:34:12)
Morelos,581356.0,12-Jun-2021 (22:34:12)
Nayarit,360404.0,12-Jun-2021 (22:34:12)
Nuevo León,1827768.0,12-Jun-2021 (22:34:12)
Oaxaca,894387.0,12-Jun-2021 (22:34:12)
Puebla,1142910.0,12-Jun-2021 (22:34:12)
Querétaro,,12-Jun-2021 (22:34:12)
Quintana Roo,396102.0,12-Jun-2021 (22:34:12)
San Luis Potosí,786487.0,12-Jun-2021 (22:34:12)
Sinaloa,1007334.0,12-Jun-2021 (22:34:12)
Sonora,813714.0,12-Jun-2021 (22:34:12)
Tabasco,707830.0,12-Jun-2021 (22:34:12)
Tamaulipas,1014308.0,12-Jun-2021 (22:34:12)
Tlaxcala,346707.0,12-Jun-2021 (22:34:12)
Veracruz,1801498.0,12-Jun-2021 (22:34:12)
Yucatán,868583.0,12-Jun-2021 (22:34:12)
Zacatecas,544532.0,12-Jun-2021 (22:34:12)
Guanajuato,1694773.0,12-Jun-2021 (22:34:12)
