Estado,vacunados,descarga
Aguascalientes,1650383,22-Feb-2022 (11:41:15)
Baja California,3276777,22-Feb-2022 (11:41:15)
Baja California Sur,947698,22-Feb-2022 (11:41:15)
Campeche,1164995,22-Feb-2022 (11:41:15)
Chiapas,3771407,22-Feb-2022 (11:41:15)
Chihuahua,4527102,22-Feb-2022 (11:41:15)
Coahuila,3650430,22-Feb-2022 (11:41:15)
Colima,863882,22-Feb-2022 (11:41:15)
CDMX,13156558,22-Feb-2022 (11:41:15)
Durango,2036751,22-Feb-2022 (11:41:15)
Guerrero,2931834,22-Feb-2022 (11:41:15)
Hidalgo,3750376,22-Feb-2022 (11:41:15)
Jalisco,8493172,22-Feb-2022 (11:41:15)
Estado de México,22460360,22-Feb-2022 (11:41:15)
Michoacán,4557489,22-Feb-2022 (11:41:15)
Morelos,2251565,22-Feb-2022 (11:41:15)
Nayarit,1346349,22-Feb-2022 (11:41:15)
Nuevo León,7193423,22-Feb-2022 (11:41:15)
Oaxaca,3580404,22-Feb-2022 (11:41:15)
Puebla,7069302,22-Feb-2022 (11:41:15)
Querétaro,3108862,22-Feb-2022 (11:41:15)
Quintana Roo,2366344,22-Feb-2022 (11:41:15)
San Luis Potosí,3233287,22-Feb-2022 (11:41:15)
Sinaloa,3832082,22-Feb-2022 (11:41:15)
Sonora,3529952,22-Feb-2022 (11:41:15)
Tabasco,2966754,22-Feb-2022 (11:41:15)
Tamaulipas,4234931,22-Feb-2022 (11:41:15)
Tlaxcala,1637982,22-Feb-2022 (11:41:15)
Veracruz,7898309,22-Feb-2022 (11:41:15)
Yucatán,2917155,22-Feb-2022 (11:41:15)
Zacatecas,1806999,22-Feb-2022 (11:41:15)
Guanajuato,7062547,22-Feb-2022 (11:41:15)
