Estado,vacunados,descarga
Aguascalientes,672046,28-Jul-2021 (19:38:26)
Baja California,2619957,28-Jul-2021 (19:38:26)
Baja California Sur,495096,28-Jul-2021 (19:38:26)
Campeche,339468,28-Jul-2021 (19:38:26)
Chiapas,1084785,28-Jul-2021 (19:38:26)
Chihuahua,2330506,28-Jul-2021 (19:38:26)
Coahuila,1422268,28-Jul-2021 (19:38:26)
Colima,340099,28-Jul-2021 (19:38:26)
CDMX,7141549,28-Jul-2021 (19:38:26)
Durango,673625,28-Jul-2021 (19:38:26)
Guerrero,1100838,28-Jul-2021 (19:38:26)
Hidalgo,1341619,28-Jul-2021 (19:38:26)
Jalisco,2951668,28-Jul-2021 (19:38:26)
Estado de México,6954905,28-Jul-2021 (19:38:26)
Michoacán,1615778,28-Jul-2021 (19:38:26)
Morelos,862767,28-Jul-2021 (19:38:26)
Nayarit,517765,28-Jul-2021 (19:38:26)
Nuevo León,2557127,28-Jul-2021 (19:38:26)
Oaxaca,1250683,28-Jul-2021 (19:38:26)
Puebla,1579490,28-Jul-2021 (19:38:26)
Querétaro,966324,28-Jul-2021 (19:38:26)
Quintana Roo,779936,28-Jul-2021 (19:38:26)
San Luis Potosí,1143918,28-Jul-2021 (19:38:26)
Sinaloa,1732466,28-Jul-2021 (19:38:26)
Sonora,1389838,28-Jul-2021 (19:38:26)
Tabasco,964660,28-Jul-2021 (19:38:26)
Tamaulipas,1604805,28-Jul-2021 (19:38:26)
Tlaxcala,532018,28-Jul-2021 (19:38:26)
Veracruz,2820734,28-Jul-2021 (19:38:26)
Yucatán,1413533,28-Jul-2021 (19:38:26)
Zacatecas,752720,28-Jul-2021 (19:38:26)
Guanajuato,2589607,28-Jul-2021 (19:38:26)
