Estado,vacunados,descarga
Aguascalientes,494384.0,03-Jul-2021 (21:25:25)
Baja California,1871559.0,03-Jul-2021 (21:25:25)
Baja California Sur,298986.0,03-Jul-2021 (21:25:25)
Campeche,324534.0,03-Jul-2021 (21:25:25)
Chiapas,790397.0,03-Jul-2021 (21:25:25)
Chihuahua,1213451.0,03-Jul-2021 (21:25:25)
Coahuila,1113121.0,03-Jul-2021 (21:25:25)
Colima,269591.0,03-Jul-2021 (21:25:25)
CDMX,5131547.0,03-Jul-2021 (21:25:25)
Durango,587670.0,03-Jul-2021 (21:25:25)
Guerrero,914118.0,03-Jul-2021 (21:25:25)
Hidalgo,981557.0,03-Jul-2021 (21:25:25)
Jalisco,2164087.0,03-Jul-2021 (21:25:25)
Estado de México,5328590.0,03-Jul-2021 (21:25:25)
Michoacán,1215727.0,03-Jul-2021 (21:25:25)
Morelos,700952.0,03-Jul-2021 (21:25:25)
Nayarit,437672.0,03-Jul-2021 (21:25:25)
Nuevo León,2169783.0,03-Jul-2021 (21:25:25)
Oaxaca,1026449.0,03-Jul-2021 (21:25:25)
Puebla,1345902.0,03-Jul-2021 (21:25:25)
Querétaro,,03-Jul-2021 (21:25:25)
Quintana Roo,548816.0,03-Jul-2021 (21:25:25)
San Luis Potosí,854565.0,03-Jul-2021 (21:25:25)
Sinaloa,1150890.0,03-Jul-2021 (21:25:25)
Sonora,927697.0,03-Jul-2021 (21:25:25)
Tabasco,880375.0,03-Jul-2021 (21:25:25)
Tamaulipas,1308061.0,03-Jul-2021 (21:25:25)
Tlaxcala,365733.0,03-Jul-2021 (21:25:25)
Veracruz,2083068.0,03-Jul-2021 (21:25:25)
Yucatán,1049838.0,03-Jul-2021 (21:25:25)
Zacatecas,615438.0,03-Jul-2021 (21:25:25)
Guanajuato,1901367.0,03-Jul-2021 (21:25:25)
