Estado,vacunados,descarga
Aguascalientes,672046,03-Aug-2021 (20:28:54)
Baja California,2619957,03-Aug-2021 (20:28:54)
Baja California Sur,495096,03-Aug-2021 (20:28:54)
Campeche,339468,03-Aug-2021 (20:28:54)
Chiapas,1084785,03-Aug-2021 (20:28:54)
Chihuahua,2330506,03-Aug-2021 (20:28:54)
Coahuila,1422268,03-Aug-2021 (20:28:54)
Colima,340099,03-Aug-2021 (20:28:54)
CDMX,7141549,03-Aug-2021 (20:28:54)
Durango,673625,03-Aug-2021 (20:28:54)
Guerrero,1100838,03-Aug-2021 (20:28:54)
Hidalgo,1341619,03-Aug-2021 (20:28:54)
Jalisco,2951668,03-Aug-2021 (20:28:54)
Estado de México,6954905,03-Aug-2021 (20:28:54)
Michoacán,1615778,03-Aug-2021 (20:28:54)
Morelos,862767,03-Aug-2021 (20:28:54)
Nayarit,517765,03-Aug-2021 (20:28:54)
Nuevo León,2557127,03-Aug-2021 (20:28:54)
Oaxaca,1250683,03-Aug-2021 (20:28:54)
Puebla,1579490,03-Aug-2021 (20:28:54)
Querétaro,966324,03-Aug-2021 (20:28:54)
Quintana Roo,779936,03-Aug-2021 (20:28:54)
San Luis Potosí,1143918,03-Aug-2021 (20:28:54)
Sinaloa,1732466,03-Aug-2021 (20:28:54)
Sonora,1389838,03-Aug-2021 (20:28:54)
Tabasco,964660,03-Aug-2021 (20:28:54)
Tamaulipas,1604805,03-Aug-2021 (20:28:54)
Tlaxcala,532018,03-Aug-2021 (20:28:54)
Veracruz,2820734,03-Aug-2021 (20:28:54)
Yucatán,1413533,03-Aug-2021 (20:28:54)
Zacatecas,752720,03-Aug-2021 (20:28:54)
Guanajuato,2589607,03-Aug-2021 (20:28:54)
