Estado,vacunados,descarga
Aguascalientes,672046,18-Aug-2021 (23:06:51)
Baja California,2619957,18-Aug-2021 (23:06:51)
Baja California Sur,495096,18-Aug-2021 (23:06:51)
Campeche,339468,18-Aug-2021 (23:06:51)
Chiapas,1084785,18-Aug-2021 (23:06:51)
Chihuahua,2330506,18-Aug-2021 (23:06:51)
Coahuila,1422268,18-Aug-2021 (23:06:51)
Colima,340099,18-Aug-2021 (23:06:51)
CDMX,7141549,18-Aug-2021 (23:06:51)
Durango,673625,18-Aug-2021 (23:06:51)
Guerrero,1100838,18-Aug-2021 (23:06:51)
Hidalgo,1341619,18-Aug-2021 (23:06:51)
Jalisco,2951668,18-Aug-2021 (23:06:51)
Estado de México,6954905,18-Aug-2021 (23:06:51)
Michoacán,1615778,18-Aug-2021 (23:06:51)
Morelos,862767,18-Aug-2021 (23:06:51)
Nayarit,517765,18-Aug-2021 (23:06:51)
Nuevo León,2557127,18-Aug-2021 (23:06:51)
Oaxaca,1250683,18-Aug-2021 (23:06:51)
Puebla,1579490,18-Aug-2021 (23:06:51)
Querétaro,966324,18-Aug-2021 (23:06:51)
Quintana Roo,779936,18-Aug-2021 (23:06:51)
San Luis Potosí,1143918,18-Aug-2021 (23:06:51)
Sinaloa,1732466,18-Aug-2021 (23:06:51)
Sonora,1389838,18-Aug-2021 (23:06:51)
Tabasco,964660,18-Aug-2021 (23:06:51)
Tamaulipas,1604805,18-Aug-2021 (23:06:51)
Tlaxcala,532018,18-Aug-2021 (23:06:51)
Veracruz,2820734,18-Aug-2021 (23:06:51)
Yucatán,1413533,18-Aug-2021 (23:06:51)
Zacatecas,752720,18-Aug-2021 (23:06:51)
Guanajuato,2589607,18-Aug-2021 (23:06:51)
