Estado,vacunados,descarga
Aguascalientes,672046,27-Jul-2021 (23:06:47)
Baja California,2619957,27-Jul-2021 (23:06:47)
Baja California Sur,495096,27-Jul-2021 (23:06:47)
Campeche,339468,27-Jul-2021 (23:06:47)
Chiapas,1084785,27-Jul-2021 (23:06:47)
Chihuahua,2330506,27-Jul-2021 (23:06:47)
Coahuila,1422268,27-Jul-2021 (23:06:47)
Colima,340099,27-Jul-2021 (23:06:47)
CDMX,7141549,27-Jul-2021 (23:06:47)
Durango,673625,27-Jul-2021 (23:06:47)
Guerrero,1100838,27-Jul-2021 (23:06:47)
Hidalgo,1341619,27-Jul-2021 (23:06:47)
Jalisco,2951668,27-Jul-2021 (23:06:47)
Estado de México,6954905,27-Jul-2021 (23:06:47)
Michoacán,1615778,27-Jul-2021 (23:06:47)
Morelos,862767,27-Jul-2021 (23:06:47)
Nayarit,517765,27-Jul-2021 (23:06:47)
Nuevo León,2557127,27-Jul-2021 (23:06:47)
Oaxaca,1250683,27-Jul-2021 (23:06:47)
Puebla,1579490,27-Jul-2021 (23:06:47)
Querétaro,966324,27-Jul-2021 (23:06:47)
Quintana Roo,779936,27-Jul-2021 (23:06:47)
San Luis Potosí,1143918,27-Jul-2021 (23:06:47)
Sinaloa,1732466,27-Jul-2021 (23:06:47)
Sonora,1389838,27-Jul-2021 (23:06:47)
Tabasco,964660,27-Jul-2021 (23:06:47)
Tamaulipas,1604805,27-Jul-2021 (23:06:47)
Tlaxcala,532018,27-Jul-2021 (23:06:47)
Veracruz,2820734,27-Jul-2021 (23:06:47)
Yucatán,1413533,27-Jul-2021 (23:06:47)
Zacatecas,752720,27-Jul-2021 (23:06:47)
Guanajuato,2589607,27-Jul-2021 (23:06:47)
