Estado,vacunados,descarga
Aguascalientes,401501.0,08-Jun-2021 (19:51:48)
Baja California,877750.0,08-Jun-2021 (19:51:48)
Baja California Sur,228665.0,08-Jun-2021 (19:51:48)
Campeche,269908.0,08-Jun-2021 (19:51:48)
Chiapas,647216.0,08-Jun-2021 (19:51:48)
Chihuahua,1036994.0,08-Jun-2021 (19:51:48)
Coahuila,908968.0,08-Jun-2021 (19:51:48)
Colima,248409.0,08-Jun-2021 (19:51:48)
CDMX,4714855.0,08-Jun-2021 (19:51:48)
Durango,540950.0,08-Jun-2021 (19:51:48)
Guerrero,815425.0,08-Jun-2021 (19:51:48)
Hidalgo,910034.0,08-Jun-2021 (19:51:48)
Jalisco,1726218.0,08-Jun-2021 (19:51:48)
Estado de México,4631804.0,08-Jun-2021 (19:51:48)
Michoacán,1022955.0,08-Jun-2021 (19:51:48)
Morelos,581356.0,08-Jun-2021 (19:51:48)
Nayarit,360404.0,08-Jun-2021 (19:51:48)
Nuevo León,1827768.0,08-Jun-2021 (19:51:48)
Oaxaca,894387.0,08-Jun-2021 (19:51:48)
Puebla,1142910.0,08-Jun-2021 (19:51:48)
Querétaro,,08-Jun-2021 (19:51:48)
Quintana Roo,396102.0,08-Jun-2021 (19:51:48)
San Luis Potosí,786487.0,08-Jun-2021 (19:51:48)
Sinaloa,1007334.0,08-Jun-2021 (19:51:48)
Sonora,813714.0,08-Jun-2021 (19:51:48)
Tabasco,707830.0,08-Jun-2021 (19:51:48)
Tamaulipas,1014308.0,08-Jun-2021 (19:51:48)
Tlaxcala,346707.0,08-Jun-2021 (19:51:48)
Veracruz,1801498.0,08-Jun-2021 (19:51:48)
Yucatán,868583.0,08-Jun-2021 (19:51:48)
Zacatecas,544532.0,08-Jun-2021 (19:51:48)
Guanajuato,1694773.0,08-Jun-2021 (19:51:48)
