Estado,vacunados,descarga
Aguascalientes,377490.0,07-Jun-2021 (19:32:25)
Baja California,776613.0,07-Jun-2021 (19:32:25)
Baja California Sur,195465.0,07-Jun-2021 (19:32:25)
Campeche,254294.0,07-Jun-2021 (19:32:25)
Chiapas,629827.0,07-Jun-2021 (19:32:25)
Chihuahua,915132.0,07-Jun-2021 (19:32:25)
Coahuila,841369.0,07-Jun-2021 (19:32:25)
Colima,220825.0,07-Jun-2021 (19:32:25)
CDMX,4328557.0,07-Jun-2021 (19:32:25)
Durango,511116.0,07-Jun-2021 (19:32:25)
Guerrero,737493.0,07-Jun-2021 (19:32:25)
Hidalgo,796948.0,07-Jun-2021 (19:32:25)
Jalisco,1610598.0,07-Jun-2021 (19:32:25)
Estado de México,3927686.0,07-Jun-2021 (19:32:25)
Michoacán,987847.0,07-Jun-2021 (19:32:25)
Morelos,539311.0,07-Jun-2021 (19:32:25)
Nayarit,326497.0,07-Jun-2021 (19:32:25)
Nuevo León,1689351.0,07-Jun-2021 (19:32:25)
Oaxaca,862247.0,07-Jun-2021 (19:32:25)
Puebla,1064628.0,07-Jun-2021 (19:32:25)
Querétaro,,07-Jun-2021 (19:32:25)
Quintana Roo,323397.0,07-Jun-2021 (19:32:25)
San Luis Potosí,761543.0,07-Jun-2021 (19:32:25)
Sinaloa,905866.0,07-Jun-2021 (19:32:25)
Sonora,741860.0,07-Jun-2021 (19:32:25)
Tabasco,561594.0,07-Jun-2021 (19:32:25)
Tamaulipas,961662.0,07-Jun-2021 (19:32:25)
Tlaxcala,313831.0,07-Jun-2021 (19:32:25)
Veracruz,1680917.0,07-Jun-2021 (19:32:25)
Yucatán,725472.0,07-Jun-2021 (19:32:25)
Zacatecas,437329.0,07-Jun-2021 (19:32:25)
Guanajuato,1485573.0,07-Jun-2021 (19:32:25)
