Estado,vacunados,descarga
Aguascalientes,672046,26-Jul-2021 (18:41:37)
Baja California,2619957,26-Jul-2021 (18:41:37)
Baja California Sur,495096,26-Jul-2021 (18:41:37)
Campeche,339468,26-Jul-2021 (18:41:37)
Chiapas,1084785,26-Jul-2021 (18:41:37)
Chihuahua,2330506,26-Jul-2021 (18:41:37)
Coahuila,1422268,26-Jul-2021 (18:41:37)
Colima,340099,26-Jul-2021 (18:41:37)
CDMX,7141549,26-Jul-2021 (18:41:37)
Durango,673625,26-Jul-2021 (18:41:37)
Guerrero,1100838,26-Jul-2021 (18:41:37)
Hidalgo,1341619,26-Jul-2021 (18:41:37)
Jalisco,2951668,26-Jul-2021 (18:41:37)
Estado de México,6954905,26-Jul-2021 (18:41:37)
Michoacán,1615778,26-Jul-2021 (18:41:37)
Morelos,862767,26-Jul-2021 (18:41:37)
Nayarit,517765,26-Jul-2021 (18:41:37)
Nuevo León,2557127,26-Jul-2021 (18:41:37)
Oaxaca,1250683,26-Jul-2021 (18:41:37)
Puebla,1579490,26-Jul-2021 (18:41:37)
Querétaro,966324,26-Jul-2021 (18:41:37)
Quintana Roo,779936,26-Jul-2021 (18:41:37)
San Luis Potosí,1143918,26-Jul-2021 (18:41:37)
Sinaloa,1732466,26-Jul-2021 (18:41:37)
Sonora,1389838,26-Jul-2021 (18:41:37)
Tabasco,964660,26-Jul-2021 (18:41:37)
Tamaulipas,1604805,26-Jul-2021 (18:41:37)
Tlaxcala,532018,26-Jul-2021 (18:41:37)
Veracruz,2820734,26-Jul-2021 (18:41:37)
Yucatán,1413533,26-Jul-2021 (18:41:37)
Zacatecas,752720,26-Jul-2021 (18:41:37)
Guanajuato,2589607,26-Jul-2021 (18:41:37)
