Estado,vacunados,descarga
Aguascalientes,363066.0,26-May-2021 (22:36:43)
Baja California,716252.0,26-May-2021 (22:36:43)
Baja California Sur,185781.0,26-May-2021 (22:36:43)
Campeche,244678.0,26-May-2021 (22:36:43)
Chiapas,619078.0,26-May-2021 (22:36:43)
Chihuahua,826755.0,26-May-2021 (22:36:43)
Coahuila,809623.0,26-May-2021 (22:36:43)
Colima,179395.0,26-May-2021 (22:36:43)
CDMX,3933492.0,26-May-2021 (22:36:43)
Durango,432283.0,26-May-2021 (22:36:43)
Guerrero,713507.0,26-May-2021 (22:36:43)
Hidalgo,708538.0,26-May-2021 (22:36:43)
Jalisco,1506615.0,26-May-2021 (22:36:43)
Estado de México,3320002.0,26-May-2021 (22:36:43)
Michoacán,959493.0,26-May-2021 (22:36:43)
Morelos,502708.0,26-May-2021 (22:36:43)
Nayarit,307872.0,26-May-2021 (22:36:43)
Nuevo León,1352316.0,26-May-2021 (22:36:43)
Oaxaca,801822.0,26-May-2021 (22:36:43)
Puebla,947155.0,26-May-2021 (22:36:43)
Querétaro,,26-May-2021 (22:36:43)
Quintana Roo,298003.0,26-May-2021 (22:36:43)
San Luis Potosí,721333.0,26-May-2021 (22:36:43)
Sinaloa,817191.0,26-May-2021 (22:36:43)
Sonora,605377.0,26-May-2021 (22:36:43)
Tabasco,507452.0,26-May-2021 (22:36:43)
Tamaulipas,837718.0,26-May-2021 (22:36:43)
Tlaxcala,279501.0,26-May-2021 (22:36:43)
Veracruz,1526411.0,26-May-2021 (22:36:43)
Yucatán,595988.0,26-May-2021 (22:36:43)
Zacatecas,408078.0,26-May-2021 (22:36:43)
Guanajuato,1269086.0,26-May-2021 (22:36:43)
