Estado,vacunados,descarga
Aguascalientes,1650383,21-Mar-2022 (03:55:05)
Baja California,3276777,21-Mar-2022 (03:55:05)
Baja California Sur,947698,21-Mar-2022 (03:55:05)
Campeche,1164995,21-Mar-2022 (03:55:05)
Chiapas,3771407,21-Mar-2022 (03:55:05)
Chihuahua,4527102,21-Mar-2022 (03:55:05)
Coahuila,3650430,21-Mar-2022 (03:55:05)
Colima,863882,21-Mar-2022 (03:55:05)
CDMX,13156558,21-Mar-2022 (03:55:05)
Durango,2036751,21-Mar-2022 (03:55:05)
Guerrero,2931834,21-Mar-2022 (03:55:05)
Hidalgo,3750376,21-Mar-2022 (03:55:05)
Jalisco,8493172,21-Mar-2022 (03:55:05)
Estado de México,22460360,21-Mar-2022 (03:55:05)
Michoacán,4557489,21-Mar-2022 (03:55:05)
Morelos,2251565,21-Mar-2022 (03:55:05)
Nayarit,1346349,21-Mar-2022 (03:55:05)
Nuevo León,7193423,21-Mar-2022 (03:55:05)
Oaxaca,3580404,21-Mar-2022 (03:55:05)
Puebla,7069302,21-Mar-2022 (03:55:05)
Querétaro,3108862,21-Mar-2022 (03:55:05)
Quintana Roo,2366344,21-Mar-2022 (03:55:05)
San Luis Potosí,3233287,21-Mar-2022 (03:55:05)
Sinaloa,3832082,21-Mar-2022 (03:55:05)
Sonora,3529952,21-Mar-2022 (03:55:05)
Tabasco,2966754,21-Mar-2022 (03:55:05)
Tamaulipas,4234931,21-Mar-2022 (03:55:05)
Tlaxcala,1637982,21-Mar-2022 (03:55:05)
Veracruz,7898309,21-Mar-2022 (03:55:05)
Yucatán,2917155,21-Mar-2022 (03:55:05)
Zacatecas,1806999,21-Mar-2022 (03:55:05)
Guanajuato,7062547,21-Mar-2022 (03:55:05)
