Estado,vacunados,descarga
Aguascalientes,1650383,17-Feb-2022 (11:39:20)
Baja California,3276777,17-Feb-2022 (11:39:20)
Baja California Sur,947698,17-Feb-2022 (11:39:20)
Campeche,1164995,17-Feb-2022 (11:39:20)
Chiapas,3771407,17-Feb-2022 (11:39:20)
Chihuahua,4527102,17-Feb-2022 (11:39:20)
Coahuila,3650430,17-Feb-2022 (11:39:20)
Colima,863882,17-Feb-2022 (11:39:20)
CDMX,13156558,17-Feb-2022 (11:39:20)
Durango,2036751,17-Feb-2022 (11:39:20)
Guerrero,2931834,17-Feb-2022 (11:39:20)
Hidalgo,3750376,17-Feb-2022 (11:39:20)
Jalisco,8493172,17-Feb-2022 (11:39:20)
Estado de México,22460360,17-Feb-2022 (11:39:20)
Michoacán,4557489,17-Feb-2022 (11:39:20)
Morelos,2251565,17-Feb-2022 (11:39:20)
Nayarit,1346349,17-Feb-2022 (11:39:20)
Nuevo León,7193423,17-Feb-2022 (11:39:20)
Oaxaca,3580404,17-Feb-2022 (11:39:20)
Puebla,7069302,17-Feb-2022 (11:39:20)
Querétaro,3108862,17-Feb-2022 (11:39:20)
Quintana Roo,2366344,17-Feb-2022 (11:39:20)
San Luis Potosí,3233287,17-Feb-2022 (11:39:20)
Sinaloa,3832082,17-Feb-2022 (11:39:20)
Sonora,3529952,17-Feb-2022 (11:39:20)
Tabasco,2966754,17-Feb-2022 (11:39:20)
Tamaulipas,4234931,17-Feb-2022 (11:39:20)
Tlaxcala,1637982,17-Feb-2022 (11:39:20)
Veracruz,7898309,17-Feb-2022 (11:39:20)
Yucatán,2917155,17-Feb-2022 (11:39:20)
Zacatecas,1806999,17-Feb-2022 (11:39:20)
Guanajuato,7062547,17-Feb-2022 (11:39:20)
