Estado,vacunados,descarga
Aguascalientes,1366140,10-Dec-2021 (14:50:51)
Baja California,2662407,10-Dec-2021 (14:50:51)
Baja California Sur,795650,10-Dec-2021 (14:50:51)
Campeche,954607,10-Dec-2021 (14:50:51)
Chiapas,2408907,10-Dec-2021 (14:50:51)
Chihuahua,3642611,10-Dec-2021 (14:50:51)
Coahuila,2375177,10-Dec-2021 (14:50:51)
Colima,645770,10-Dec-2021 (14:50:51)
CDMX,11706088,10-Dec-2021 (14:50:51)
Durango,1388317,10-Dec-2021 (14:50:51)
Guerrero,2257674,10-Dec-2021 (14:50:51)
Hidalgo,2834862,10-Dec-2021 (14:50:51)
Jalisco,5815250,10-Dec-2021 (14:50:51)
Estado de México,13409000,10-Dec-2021 (14:50:51)
Michoacán,3603368,10-Dec-2021 (14:50:51)
Morelos,1808780,10-Dec-2021 (14:50:51)
Nayarit,1008004,10-Dec-2021 (14:50:51)
Nuevo León,3573989,10-Dec-2021 (14:50:51)
Oaxaca,2550136,10-Dec-2021 (14:50:51)
Puebla,4675270,10-Dec-2021 (14:50:51)
Querétaro,2343603,10-Dec-2021 (14:50:51)
Quintana Roo,1827346,10-Dec-2021 (14:50:51)
San Luis Potosí,2361923,10-Dec-2021 (14:50:51)
Sinaloa,3272155,10-Dec-2021 (14:50:51)
Sonora,2685212,10-Dec-2021 (14:50:51)
Tabasco,1981460,10-Dec-2021 (14:50:51)
Tamaulipas,3697767,10-Dec-2021 (14:50:51)
Tlaxcala,1248872,10-Dec-2021 (14:50:51)
Veracruz,5848645,10-Dec-2021 (14:50:51)
Yucatán,2260970,10-Dec-2021 (14:50:51)
Zacatecas,1432749,10-Dec-2021 (14:50:51)
Guanajuato,4416973,10-Dec-2021 (14:50:51)
