Estado,vacunados,descarga
Aguascalientes,1650383,01-Apr-2022 (03:55:04)
Baja California,3276777,01-Apr-2022 (03:55:04)
Baja California Sur,947698,01-Apr-2022 (03:55:04)
Campeche,1164995,01-Apr-2022 (03:55:04)
Chiapas,3771407,01-Apr-2022 (03:55:04)
Chihuahua,4527102,01-Apr-2022 (03:55:04)
Coahuila,3650430,01-Apr-2022 (03:55:04)
Colima,863882,01-Apr-2022 (03:55:04)
CDMX,13156558,01-Apr-2022 (03:55:04)
Durango,2036751,01-Apr-2022 (03:55:04)
Guerrero,2931834,01-Apr-2022 (03:55:04)
Hidalgo,3750376,01-Apr-2022 (03:55:04)
Jalisco,8493172,01-Apr-2022 (03:55:04)
Estado de México,22460360,01-Apr-2022 (03:55:04)
Michoacán,4557489,01-Apr-2022 (03:55:04)
Morelos,2251565,01-Apr-2022 (03:55:04)
Nayarit,1346349,01-Apr-2022 (03:55:04)
Nuevo León,7193423,01-Apr-2022 (03:55:04)
Oaxaca,3580404,01-Apr-2022 (03:55:04)
Puebla,7069302,01-Apr-2022 (03:55:04)
Querétaro,3108862,01-Apr-2022 (03:55:04)
Quintana Roo,2366344,01-Apr-2022 (03:55:04)
San Luis Potosí,3233287,01-Apr-2022 (03:55:04)
Sinaloa,3832082,01-Apr-2022 (03:55:04)
Sonora,3529952,01-Apr-2022 (03:55:04)
Tabasco,2966754,01-Apr-2022 (03:55:04)
Tamaulipas,4234931,01-Apr-2022 (03:55:04)
Tlaxcala,1637982,01-Apr-2022 (03:55:04)
Veracruz,7898309,01-Apr-2022 (03:55:04)
Yucatán,2917155,01-Apr-2022 (03:55:04)
Zacatecas,1806999,01-Apr-2022 (03:55:04)
Guanajuato,7062547,01-Apr-2022 (03:55:04)
