Estado,vacunados,descarga
Aguascalientes,1650383,18-Mar-2022 (03:55:19)
Baja California,3276777,18-Mar-2022 (03:55:19)
Baja California Sur,947698,18-Mar-2022 (03:55:19)
Campeche,1164995,18-Mar-2022 (03:55:19)
Chiapas,3771407,18-Mar-2022 (03:55:19)
Chihuahua,4527102,18-Mar-2022 (03:55:19)
Coahuila,3650430,18-Mar-2022 (03:55:19)
Colima,863882,18-Mar-2022 (03:55:19)
CDMX,13156558,18-Mar-2022 (03:55:19)
Durango,2036751,18-Mar-2022 (03:55:19)
Guerrero,2931834,18-Mar-2022 (03:55:19)
Hidalgo,3750376,18-Mar-2022 (03:55:19)
Jalisco,8493172,18-Mar-2022 (03:55:19)
Estado de México,22460360,18-Mar-2022 (03:55:19)
Michoacán,4557489,18-Mar-2022 (03:55:19)
Morelos,2251565,18-Mar-2022 (03:55:19)
Nayarit,1346349,18-Mar-2022 (03:55:19)
Nuevo León,7193423,18-Mar-2022 (03:55:19)
Oaxaca,3580404,18-Mar-2022 (03:55:19)
Puebla,7069302,18-Mar-2022 (03:55:19)
Querétaro,3108862,18-Mar-2022 (03:55:19)
Quintana Roo,2366344,18-Mar-2022 (03:55:19)
San Luis Potosí,3233287,18-Mar-2022 (03:55:19)
Sinaloa,3832082,18-Mar-2022 (03:55:19)
Sonora,3529952,18-Mar-2022 (03:55:19)
Tabasco,2966754,18-Mar-2022 (03:55:19)
Tamaulipas,4234931,18-Mar-2022 (03:55:19)
Tlaxcala,1637982,18-Mar-2022 (03:55:19)
Veracruz,7898309,18-Mar-2022 (03:55:19)
Yucatán,2917155,18-Mar-2022 (03:55:19)
Zacatecas,1806999,18-Mar-2022 (03:55:19)
Guanajuato,7062547,18-Mar-2022 (03:55:19)
