Estado,vacunados,descarga
Aguascalientes,445347.0,17-Jun-2021 (21:22:22)
Baja California,1065144.0,17-Jun-2021 (21:22:22)
Baja California Sur,261079.0,17-Jun-2021 (21:22:22)
Campeche,292403.0,17-Jun-2021 (21:22:22)
Chiapas,732841.0,17-Jun-2021 (21:22:22)
Chihuahua,1137580.0,17-Jun-2021 (21:22:22)
Coahuila,987372.0,17-Jun-2021 (21:22:22)
Colima,256810.0,17-Jun-2021 (21:22:22)
CDMX,5007816.0,17-Jun-2021 (21:22:22)
Durango,565099.0,17-Jun-2021 (21:22:22)
Guerrero,857891.0,17-Jun-2021 (21:22:22)
Hidalgo,967654.0,17-Jun-2021 (21:22:22)
Jalisco,1947473.0,17-Jun-2021 (21:22:22)
Estado de México,5180460.0,17-Jun-2021 (21:22:22)
Michoacán,1117327.0,17-Jun-2021 (21:22:22)
Morelos,617639.0,17-Jun-2021 (21:22:22)
Nayarit,386955.0,17-Jun-2021 (21:22:22)
Nuevo León,1950194.0,17-Jun-2021 (21:22:22)
Oaxaca,944918.0,17-Jun-2021 (21:22:22)
Puebla,1252766.0,17-Jun-2021 (21:22:22)
Querétaro,,17-Jun-2021 (21:22:22)
Quintana Roo,489921.0,17-Jun-2021 (21:22:22)
San Luis Potosí,823784.0,17-Jun-2021 (21:22:22)
Sinaloa,1080557.0,17-Jun-2021 (21:22:22)
Sonora,899394.0,17-Jun-2021 (21:22:22)
Tabasco,838561.0,17-Jun-2021 (21:22:22)
Tamaulipas,1146888.0,17-Jun-2021 (21:22:22)
Tlaxcala,364299.0,17-Jun-2021 (21:22:22)
Veracruz,1932673.0,17-Jun-2021 (21:22:22)
Yucatán,996637.0,17-Jun-2021 (21:22:22)
Zacatecas,579648.0,17-Jun-2021 (21:22:22)
Guanajuato,1767903.0,17-Jun-2021 (21:22:22)
