Estado,vacunados,descarga
Aguascalientes,494384.0,29-Jun-2021 (20:11:58)
Baja California,1871559.0,29-Jun-2021 (20:11:58)
Baja California Sur,298986.0,29-Jun-2021 (20:11:58)
Campeche,324534.0,29-Jun-2021 (20:11:58)
Chiapas,790397.0,29-Jun-2021 (20:11:58)
Chihuahua,1213451.0,29-Jun-2021 (20:11:58)
Coahuila,1113121.0,29-Jun-2021 (20:11:58)
Colima,269591.0,29-Jun-2021 (20:11:58)
CDMX,5131547.0,29-Jun-2021 (20:11:58)
Durango,587670.0,29-Jun-2021 (20:11:58)
Guerrero,914118.0,29-Jun-2021 (20:11:58)
Hidalgo,981557.0,29-Jun-2021 (20:11:58)
Jalisco,2164087.0,29-Jun-2021 (20:11:58)
Estado de México,5328590.0,29-Jun-2021 (20:11:58)
Michoacán,1215727.0,29-Jun-2021 (20:11:58)
Morelos,700952.0,29-Jun-2021 (20:11:58)
Nayarit,437672.0,29-Jun-2021 (20:11:58)
Nuevo León,2169783.0,29-Jun-2021 (20:11:58)
Oaxaca,1026449.0,29-Jun-2021 (20:11:58)
Puebla,1345902.0,29-Jun-2021 (20:11:58)
Querétaro,,29-Jun-2021 (20:11:58)
Quintana Roo,548816.0,29-Jun-2021 (20:11:58)
San Luis Potosí,854565.0,29-Jun-2021 (20:11:58)
Sinaloa,1150890.0,29-Jun-2021 (20:11:58)
Sonora,927697.0,29-Jun-2021 (20:11:58)
Tabasco,880375.0,29-Jun-2021 (20:11:58)
Tamaulipas,1308061.0,29-Jun-2021 (20:11:58)
Tlaxcala,365733.0,29-Jun-2021 (20:11:58)
Veracruz,2083068.0,29-Jun-2021 (20:11:58)
Yucatán,1049838.0,29-Jun-2021 (20:11:58)
Zacatecas,615438.0,29-Jun-2021 (20:11:58)
Guanajuato,1901367.0,29-Jun-2021 (20:11:58)
