Estado,vacunados,descarga
Aguascalientes,672046,29-Jul-2021 (18:31:03)
Baja California,2619957,29-Jul-2021 (18:31:03)
Baja California Sur,495096,29-Jul-2021 (18:31:03)
Campeche,339468,29-Jul-2021 (18:31:03)
Chiapas,1084785,29-Jul-2021 (18:31:03)
Chihuahua,2330506,29-Jul-2021 (18:31:03)
Coahuila,1422268,29-Jul-2021 (18:31:03)
Colima,340099,29-Jul-2021 (18:31:03)
CDMX,7141549,29-Jul-2021 (18:31:03)
Durango,673625,29-Jul-2021 (18:31:03)
Guerrero,1100838,29-Jul-2021 (18:31:03)
Hidalgo,1341619,29-Jul-2021 (18:31:03)
Jalisco,2951668,29-Jul-2021 (18:31:03)
Estado de México,6954905,29-Jul-2021 (18:31:03)
Michoacán,1615778,29-Jul-2021 (18:31:03)
Morelos,862767,29-Jul-2021 (18:31:03)
Nayarit,517765,29-Jul-2021 (18:31:03)
Nuevo León,2557127,29-Jul-2021 (18:31:03)
Oaxaca,1250683,29-Jul-2021 (18:31:03)
Puebla,1579490,29-Jul-2021 (18:31:03)
Querétaro,966324,29-Jul-2021 (18:31:03)
Quintana Roo,779936,29-Jul-2021 (18:31:03)
San Luis Potosí,1143918,29-Jul-2021 (18:31:03)
Sinaloa,1732466,29-Jul-2021 (18:31:03)
Sonora,1389838,29-Jul-2021 (18:31:03)
Tabasco,964660,29-Jul-2021 (18:31:03)
Tamaulipas,1604805,29-Jul-2021 (18:31:03)
Tlaxcala,532018,29-Jul-2021 (18:31:03)
Veracruz,2820734,29-Jul-2021 (18:31:03)
Yucatán,1413533,29-Jul-2021 (18:31:03)
Zacatecas,752720,29-Jul-2021 (18:31:03)
Guanajuato,2589607,29-Jul-2021 (18:31:03)
