Estado,vacunados,descarga
Aguascalientes,401501.0,11-Jun-2021 (17:36:29)
Baja California,877750.0,11-Jun-2021 (17:36:29)
Baja California Sur,228665.0,11-Jun-2021 (17:36:29)
Campeche,269908.0,11-Jun-2021 (17:36:29)
Chiapas,647216.0,11-Jun-2021 (17:36:29)
Chihuahua,1036994.0,11-Jun-2021 (17:36:29)
Coahuila,908968.0,11-Jun-2021 (17:36:29)
Colima,248409.0,11-Jun-2021 (17:36:29)
CDMX,4714855.0,11-Jun-2021 (17:36:29)
Durango,540950.0,11-Jun-2021 (17:36:29)
Guerrero,815425.0,11-Jun-2021 (17:36:29)
Hidalgo,910034.0,11-Jun-2021 (17:36:29)
Jalisco,1726218.0,11-Jun-2021 (17:36:29)
Estado de México,4631804.0,11-Jun-2021 (17:36:29)
Michoacán,1022955.0,11-Jun-2021 (17:36:29)
Morelos,581356.0,11-Jun-2021 (17:36:29)
Nayarit,360404.0,11-Jun-2021 (17:36:29)
Nuevo León,1827768.0,11-Jun-2021 (17:36:29)
Oaxaca,894387.0,11-Jun-2021 (17:36:29)
Puebla,1142910.0,11-Jun-2021 (17:36:29)
Querétaro,,11-Jun-2021 (17:36:29)
Quintana Roo,396102.0,11-Jun-2021 (17:36:29)
San Luis Potosí,786487.0,11-Jun-2021 (17:36:29)
Sinaloa,1007334.0,11-Jun-2021 (17:36:29)
Sonora,813714.0,11-Jun-2021 (17:36:29)
Tabasco,707830.0,11-Jun-2021 (17:36:29)
Tamaulipas,1014308.0,11-Jun-2021 (17:36:29)
Tlaxcala,346707.0,11-Jun-2021 (17:36:29)
Veracruz,1801498.0,11-Jun-2021 (17:36:29)
Yucatán,868583.0,11-Jun-2021 (17:36:29)
Zacatecas,544532.0,11-Jun-2021 (17:36:29)
Guanajuato,1694773.0,11-Jun-2021 (17:36:29)
