Estado,vacunados,descarga
Aguascalientes,672046,11-Aug-2021 (08:11:33)
Baja California,2619957,11-Aug-2021 (08:11:33)
Baja California Sur,495096,11-Aug-2021 (08:11:33)
Campeche,339468,11-Aug-2021 (08:11:33)
Chiapas,1084785,11-Aug-2021 (08:11:33)
Chihuahua,2330506,11-Aug-2021 (08:11:33)
Coahuila,1422268,11-Aug-2021 (08:11:33)
Colima,340099,11-Aug-2021 (08:11:33)
CDMX,7141549,11-Aug-2021 (08:11:33)
Durango,673625,11-Aug-2021 (08:11:33)
Guerrero,1100838,11-Aug-2021 (08:11:33)
Hidalgo,1341619,11-Aug-2021 (08:11:33)
Jalisco,2951668,11-Aug-2021 (08:11:33)
Estado de México,6954905,11-Aug-2021 (08:11:33)
Michoacán,1615778,11-Aug-2021 (08:11:33)
Morelos,862767,11-Aug-2021 (08:11:33)
Nayarit,517765,11-Aug-2021 (08:11:33)
Nuevo León,2557127,11-Aug-2021 (08:11:33)
Oaxaca,1250683,11-Aug-2021 (08:11:33)
Puebla,1579490,11-Aug-2021 (08:11:33)
Querétaro,966324,11-Aug-2021 (08:11:33)
Quintana Roo,779936,11-Aug-2021 (08:11:33)
San Luis Potosí,1143918,11-Aug-2021 (08:11:33)
Sinaloa,1732466,11-Aug-2021 (08:11:33)
Sonora,1389838,11-Aug-2021 (08:11:33)
Tabasco,964660,11-Aug-2021 (08:11:33)
Tamaulipas,1604805,11-Aug-2021 (08:11:33)
Tlaxcala,532018,11-Aug-2021 (08:11:33)
Veracruz,2820734,11-Aug-2021 (08:11:33)
Yucatán,1413533,11-Aug-2021 (08:11:33)
Zacatecas,752720,11-Aug-2021 (08:11:33)
Guanajuato,2589607,11-Aug-2021 (08:11:33)
