Estado,vacunados,descarga
Aguascalientes,592376.0,13-Jul-2021 (20:21:34)
Baja California,2430450.0,13-Jul-2021 (20:21:34)
Baja California Sur,395224.0,13-Jul-2021 (20:21:34)
Campeche,330066.0,13-Jul-2021 (20:21:34)
Chiapas,898146.0,13-Jul-2021 (20:21:34)
Chihuahua,1430964.0,13-Jul-2021 (20:21:34)
Coahuila,1260393.0,13-Jul-2021 (20:21:34)
Colima,288429.0,13-Jul-2021 (20:21:34)
CDMX,5810244.0,13-Jul-2021 (20:21:34)
Durango,638654.0,13-Jul-2021 (20:21:34)
Guerrero,991672.0,13-Jul-2021 (20:21:34)
Hidalgo,1139922.0,13-Jul-2021 (20:21:34)
Jalisco,2437811.0,13-Jul-2021 (20:21:34)
Estado de México,6030796.0,13-Jul-2021 (20:21:34)
Michoacán,1288295.0,13-Jul-2021 (20:21:34)
Morelos,764542.0,13-Jul-2021 (20:21:34)
Nayarit,458169.0,13-Jul-2021 (20:21:34)
Nuevo León,2368116.0,13-Jul-2021 (20:21:34)
Oaxaca,1132374.0,13-Jul-2021 (20:21:34)
Puebla,1531172.0,13-Jul-2021 (20:21:34)
Querétaro,,13-Jul-2021 (20:21:34)
Quintana Roo,673842.0,13-Jul-2021 (20:21:34)
San Luis Potosí,1033751.0,13-Jul-2021 (20:21:34)
Sinaloa,1396339.0,13-Jul-2021 (20:21:34)
Sonora,1099623.0,13-Jul-2021 (20:21:34)
Tabasco,912322.0,13-Jul-2021 (20:21:34)
Tamaulipas,1431882.0,13-Jul-2021 (20:21:34)
Tlaxcala,381738.0,13-Jul-2021 (20:21:34)
Veracruz,2347668.0,13-Jul-2021 (20:21:34)
Yucatán,1275597.0,13-Jul-2021 (20:21:34)
Zacatecas,693754.0,13-Jul-2021 (20:21:34)
Guanajuato,2249763.0,13-Jul-2021 (20:21:34)
