Estado,vacunados,descarga
Aguascalientes,672046,23-Jul-2021 (21:07:09)
Baja California,2619957,23-Jul-2021 (21:07:09)
Baja California Sur,495096,23-Jul-2021 (21:07:09)
Campeche,339468,23-Jul-2021 (21:07:09)
Chiapas,1084785,23-Jul-2021 (21:07:09)
Chihuahua,2330506,23-Jul-2021 (21:07:09)
Coahuila,1422268,23-Jul-2021 (21:07:09)
Colima,340099,23-Jul-2021 (21:07:09)
CDMX,7141549,23-Jul-2021 (21:07:09)
Durango,673625,23-Jul-2021 (21:07:09)
Guerrero,1100838,23-Jul-2021 (21:07:09)
Hidalgo,1341619,23-Jul-2021 (21:07:09)
Jalisco,2951668,23-Jul-2021 (21:07:09)
Estado de México,6954905,23-Jul-2021 (21:07:09)
Michoacán,1615778,23-Jul-2021 (21:07:09)
Morelos,862767,23-Jul-2021 (21:07:09)
Nayarit,517765,23-Jul-2021 (21:07:09)
Nuevo León,2557127,23-Jul-2021 (21:07:09)
Oaxaca,1250683,23-Jul-2021 (21:07:09)
Puebla,1579490,23-Jul-2021 (21:07:09)
Querétaro,966324,23-Jul-2021 (21:07:09)
Quintana Roo,779936,23-Jul-2021 (21:07:09)
San Luis Potosí,1143918,23-Jul-2021 (21:07:09)
Sinaloa,1732466,23-Jul-2021 (21:07:09)
Sonora,1389838,23-Jul-2021 (21:07:09)
Tabasco,964660,23-Jul-2021 (21:07:09)
Tamaulipas,1604805,23-Jul-2021 (21:07:09)
Tlaxcala,532018,23-Jul-2021 (21:07:09)
Veracruz,2820734,23-Jul-2021 (21:07:09)
Yucatán,1413533,23-Jul-2021 (21:07:09)
Zacatecas,752720,23-Jul-2021 (21:07:09)
Guanajuato,2589607,23-Jul-2021 (21:07:09)
