Estado,vacunados,descarga
Aguascalientes,445347.0,19-Jun-2021 (22:47:27)
Baja California,1065144.0,19-Jun-2021 (22:47:27)
Baja California Sur,261079.0,19-Jun-2021 (22:47:27)
Campeche,292403.0,19-Jun-2021 (22:47:27)
Chiapas,732841.0,19-Jun-2021 (22:47:27)
Chihuahua,1137580.0,19-Jun-2021 (22:47:27)
Coahuila,987372.0,19-Jun-2021 (22:47:27)
Colima,256810.0,19-Jun-2021 (22:47:27)
CDMX,5007816.0,19-Jun-2021 (22:47:27)
Durango,565099.0,19-Jun-2021 (22:47:27)
Guerrero,857891.0,19-Jun-2021 (22:47:27)
Hidalgo,967654.0,19-Jun-2021 (22:47:27)
Jalisco,1947473.0,19-Jun-2021 (22:47:27)
Estado de México,5180460.0,19-Jun-2021 (22:47:27)
Michoacán,1117327.0,19-Jun-2021 (22:47:27)
Morelos,617639.0,19-Jun-2021 (22:47:27)
Nayarit,386955.0,19-Jun-2021 (22:47:27)
Nuevo León,1950194.0,19-Jun-2021 (22:47:27)
Oaxaca,944918.0,19-Jun-2021 (22:47:27)
Puebla,1252766.0,19-Jun-2021 (22:47:27)
Querétaro,,19-Jun-2021 (22:47:27)
Quintana Roo,489921.0,19-Jun-2021 (22:47:27)
San Luis Potosí,823784.0,19-Jun-2021 (22:47:27)
Sinaloa,1080557.0,19-Jun-2021 (22:47:27)
Sonora,899394.0,19-Jun-2021 (22:47:27)
Tabasco,838561.0,19-Jun-2021 (22:47:27)
Tamaulipas,1146888.0,19-Jun-2021 (22:47:27)
Tlaxcala,364299.0,19-Jun-2021 (22:47:27)
Veracruz,1932673.0,19-Jun-2021 (22:47:27)
Yucatán,996637.0,19-Jun-2021 (22:47:27)
Zacatecas,579648.0,19-Jun-2021 (22:47:27)
Guanajuato,1767903.0,19-Jun-2021 (22:47:27)
