Estado,vacunados,descarga
Aguascalientes,377490.0,02-Jun-2021 (12:27:53)
Baja California,776613.0,02-Jun-2021 (12:27:53)
Baja California Sur,195465.0,02-Jun-2021 (12:27:53)
Campeche,254294.0,02-Jun-2021 (12:27:53)
Chiapas,629827.0,02-Jun-2021 (12:27:53)
Chihuahua,915132.0,02-Jun-2021 (12:27:53)
Coahuila,841369.0,02-Jun-2021 (12:27:53)
Colima,220825.0,02-Jun-2021 (12:27:53)
CDMX,4328557.0,02-Jun-2021 (12:27:53)
Durango,511116.0,02-Jun-2021 (12:27:53)
Guerrero,737493.0,02-Jun-2021 (12:27:53)
Hidalgo,796948.0,02-Jun-2021 (12:27:53)
Jalisco,1610598.0,02-Jun-2021 (12:27:53)
Estado de México,3927686.0,02-Jun-2021 (12:27:53)
Michoacán,987847.0,02-Jun-2021 (12:27:53)
Morelos,539311.0,02-Jun-2021 (12:27:53)
Nayarit,326497.0,02-Jun-2021 (12:27:53)
Nuevo León,1689351.0,02-Jun-2021 (12:27:53)
Oaxaca,862247.0,02-Jun-2021 (12:27:53)
Puebla,1064628.0,02-Jun-2021 (12:27:53)
Querétaro,,02-Jun-2021 (12:27:53)
Quintana Roo,323397.0,02-Jun-2021 (12:27:53)
San Luis Potosí,761543.0,02-Jun-2021 (12:27:53)
Sinaloa,905866.0,02-Jun-2021 (12:27:53)
Sonora,741860.0,02-Jun-2021 (12:27:53)
Tabasco,561594.0,02-Jun-2021 (12:27:53)
Tamaulipas,961662.0,02-Jun-2021 (12:27:53)
Tlaxcala,313831.0,02-Jun-2021 (12:27:53)
Veracruz,1680917.0,02-Jun-2021 (12:27:53)
Yucatán,725472.0,02-Jun-2021 (12:27:53)
Zacatecas,437329.0,02-Jun-2021 (12:27:53)
Guanajuato,1485573.0,02-Jun-2021 (12:27:53)
