Estado,vacunados,descarga
Aguascalientes,445347.0,20-Jun-2021 (20:44:17)
Baja California,1065144.0,20-Jun-2021 (20:44:17)
Baja California Sur,261079.0,20-Jun-2021 (20:44:17)
Campeche,292403.0,20-Jun-2021 (20:44:17)
Chiapas,732841.0,20-Jun-2021 (20:44:17)
Chihuahua,1137580.0,20-Jun-2021 (20:44:17)
Coahuila,987372.0,20-Jun-2021 (20:44:17)
Colima,256810.0,20-Jun-2021 (20:44:17)
CDMX,5007816.0,20-Jun-2021 (20:44:17)
Durango,565099.0,20-Jun-2021 (20:44:17)
Guerrero,857891.0,20-Jun-2021 (20:44:17)
Hidalgo,967654.0,20-Jun-2021 (20:44:17)
Jalisco,1947473.0,20-Jun-2021 (20:44:17)
Estado de México,5180460.0,20-Jun-2021 (20:44:17)
Michoacán,1117327.0,20-Jun-2021 (20:44:17)
Morelos,617639.0,20-Jun-2021 (20:44:17)
Nayarit,386955.0,20-Jun-2021 (20:44:17)
Nuevo León,1950194.0,20-Jun-2021 (20:44:17)
Oaxaca,944918.0,20-Jun-2021 (20:44:17)
Puebla,1252766.0,20-Jun-2021 (20:44:17)
Querétaro,,20-Jun-2021 (20:44:17)
Quintana Roo,489921.0,20-Jun-2021 (20:44:17)
San Luis Potosí,823784.0,20-Jun-2021 (20:44:17)
Sinaloa,1080557.0,20-Jun-2021 (20:44:17)
Sonora,899394.0,20-Jun-2021 (20:44:17)
Tabasco,838561.0,20-Jun-2021 (20:44:17)
Tamaulipas,1146888.0,20-Jun-2021 (20:44:17)
Tlaxcala,364299.0,20-Jun-2021 (20:44:17)
Veracruz,1932673.0,20-Jun-2021 (20:44:17)
Yucatán,996637.0,20-Jun-2021 (20:44:17)
Zacatecas,579648.0,20-Jun-2021 (20:44:17)
Guanajuato,1767903.0,20-Jun-2021 (20:44:17)
