Estado,vacunados,descarga
Aguascalientes,377490.0,05-Jun-2021 (19:20:14)
Baja California,776613.0,05-Jun-2021 (19:20:14)
Baja California Sur,195465.0,05-Jun-2021 (19:20:14)
Campeche,254294.0,05-Jun-2021 (19:20:14)
Chiapas,629827.0,05-Jun-2021 (19:20:14)
Chihuahua,915132.0,05-Jun-2021 (19:20:14)
Coahuila,841369.0,05-Jun-2021 (19:20:14)
Colima,220825.0,05-Jun-2021 (19:20:14)
CDMX,4328557.0,05-Jun-2021 (19:20:14)
Durango,511116.0,05-Jun-2021 (19:20:14)
Guerrero,737493.0,05-Jun-2021 (19:20:14)
Hidalgo,796948.0,05-Jun-2021 (19:20:14)
Jalisco,1610598.0,05-Jun-2021 (19:20:14)
Estado de México,3927686.0,05-Jun-2021 (19:20:14)
Michoacán,987847.0,05-Jun-2021 (19:20:14)
Morelos,539311.0,05-Jun-2021 (19:20:14)
Nayarit,326497.0,05-Jun-2021 (19:20:14)
Nuevo León,1689351.0,05-Jun-2021 (19:20:14)
Oaxaca,862247.0,05-Jun-2021 (19:20:14)
Puebla,1064628.0,05-Jun-2021 (19:20:14)
Querétaro,,05-Jun-2021 (19:20:14)
Quintana Roo,323397.0,05-Jun-2021 (19:20:14)
San Luis Potosí,761543.0,05-Jun-2021 (19:20:14)
Sinaloa,905866.0,05-Jun-2021 (19:20:14)
Sonora,741860.0,05-Jun-2021 (19:20:14)
Tabasco,561594.0,05-Jun-2021 (19:20:14)
Tamaulipas,961662.0,05-Jun-2021 (19:20:14)
Tlaxcala,313831.0,05-Jun-2021 (19:20:14)
Veracruz,1680917.0,05-Jun-2021 (19:20:14)
Yucatán,725472.0,05-Jun-2021 (19:20:14)
Zacatecas,437329.0,05-Jun-2021 (19:20:14)
Guanajuato,1485573.0,05-Jun-2021 (19:20:14)
