Estado,vacunados,descarga
Aguascalientes,1650383,08-Apr-2022 (03:55:05)
Baja California,3276777,08-Apr-2022 (03:55:05)
Baja California Sur,947698,08-Apr-2022 (03:55:05)
Campeche,1164995,08-Apr-2022 (03:55:05)
Chiapas,3771407,08-Apr-2022 (03:55:05)
Chihuahua,4527102,08-Apr-2022 (03:55:05)
Coahuila,3650430,08-Apr-2022 (03:55:05)
Colima,863882,08-Apr-2022 (03:55:05)
CDMX,13156558,08-Apr-2022 (03:55:05)
Durango,2036751,08-Apr-2022 (03:55:05)
Guerrero,2931834,08-Apr-2022 (03:55:05)
Hidalgo,3750376,08-Apr-2022 (03:55:05)
Jalisco,8493172,08-Apr-2022 (03:55:05)
Estado de México,22460360,08-Apr-2022 (03:55:05)
Michoacán,4557489,08-Apr-2022 (03:55:05)
Morelos,2251565,08-Apr-2022 (03:55:05)
Nayarit,1346349,08-Apr-2022 (03:55:05)
Nuevo León,7193423,08-Apr-2022 (03:55:05)
Oaxaca,3580404,08-Apr-2022 (03:55:05)
Puebla,7069302,08-Apr-2022 (03:55:05)
Querétaro,3108862,08-Apr-2022 (03:55:05)
Quintana Roo,2366344,08-Apr-2022 (03:55:05)
San Luis Potosí,3233287,08-Apr-2022 (03:55:05)
Sinaloa,3832082,08-Apr-2022 (03:55:05)
Sonora,3529952,08-Apr-2022 (03:55:05)
Tabasco,2966754,08-Apr-2022 (03:55:05)
Tamaulipas,4234931,08-Apr-2022 (03:55:05)
Tlaxcala,1637982,08-Apr-2022 (03:55:05)
Veracruz,7898309,08-Apr-2022 (03:55:05)
Yucatán,2917155,08-Apr-2022 (03:55:05)
Zacatecas,1806999,08-Apr-2022 (03:55:05)
Guanajuato,7062547,08-Apr-2022 (03:55:05)
