Estado,vacunados,descarga
Aguascalientes,1134792,04-Oct-2021 (14:44:27)
Baja California,2216707,04-Oct-2021 (14:44:27)
Baja California Sur,623101,04-Oct-2021 (14:44:27)
Campeche,748205,04-Oct-2021 (14:44:27)
Chiapas,1939970,04-Oct-2021 (14:44:27)
Chihuahua,3158011,04-Oct-2021 (14:44:27)
Coahuila,1711320,04-Oct-2021 (14:44:27)
Colima,450604,04-Oct-2021 (14:44:27)
CDMX,8970111,04-Oct-2021 (14:44:27)
Durango,1056873,04-Oct-2021 (14:44:27)
Guerrero,2029843,04-Oct-2021 (14:44:27)
Hidalgo,2192816,04-Oct-2021 (14:44:27)
Jalisco,4034338,04-Oct-2021 (14:44:27)
Estado de México,9993988,04-Oct-2021 (14:44:27)
Michoacán,2899105,04-Oct-2021 (14:44:27)
Morelos,1287867,04-Oct-2021 (14:44:27)
Nayarit,807696,04-Oct-2021 (14:44:27)
Nuevo León,2793910,04-Oct-2021 (14:44:27)
Oaxaca,2074584,04-Oct-2021 (14:44:27)
Puebla,3301036,04-Oct-2021 (14:44:27)
Querétaro,1771290,04-Oct-2021 (14:44:27)
Quintana Roo,1417624,04-Oct-2021 (14:44:27)
San Luis Potosí,1938490,04-Oct-2021 (14:44:27)
Sinaloa,2768835,04-Oct-2021 (14:44:27)
Sonora,1960272,04-Oct-2021 (14:44:27)
Tabasco,1518780,04-Oct-2021 (14:44:27)
Tamaulipas,2942931,04-Oct-2021 (14:44:27)
Tlaxcala,850315,04-Oct-2021 (14:44:27)
Veracruz,4638648,04-Oct-2021 (14:44:27)
Yucatán,1949221,04-Oct-2021 (14:44:27)
Zacatecas,1121200,04-Oct-2021 (14:44:27)
Guanajuato,3588613,04-Oct-2021 (14:44:27)
