Estado,vacunados,descarga
Aguascalientes,1134792,30-Sep-2021 (14:40:11)
Baja California,2216707,30-Sep-2021 (14:40:11)
Baja California Sur,623101,30-Sep-2021 (14:40:11)
Campeche,748205,30-Sep-2021 (14:40:11)
Chiapas,1939970,30-Sep-2021 (14:40:11)
Chihuahua,3158011,30-Sep-2021 (14:40:11)
Coahuila,1711320,30-Sep-2021 (14:40:11)
Colima,450604,30-Sep-2021 (14:40:11)
CDMX,8970111,30-Sep-2021 (14:40:11)
Durango,1056873,30-Sep-2021 (14:40:11)
Guerrero,2029843,30-Sep-2021 (14:40:11)
Hidalgo,2192816,30-Sep-2021 (14:40:11)
Jalisco,4034338,30-Sep-2021 (14:40:11)
Estado de México,9993988,30-Sep-2021 (14:40:11)
Michoacán,2899105,30-Sep-2021 (14:40:11)
Morelos,1287867,30-Sep-2021 (14:40:11)
Nayarit,807696,30-Sep-2021 (14:40:11)
Nuevo León,2793910,30-Sep-2021 (14:40:11)
Oaxaca,2074584,30-Sep-2021 (14:40:11)
Puebla,3301036,30-Sep-2021 (14:40:11)
Querétaro,1771290,30-Sep-2021 (14:40:11)
Quintana Roo,1417624,30-Sep-2021 (14:40:11)
San Luis Potosí,1938490,30-Sep-2021 (14:40:11)
Sinaloa,2768835,30-Sep-2021 (14:40:11)
Sonora,1960272,30-Sep-2021 (14:40:11)
Tabasco,1518780,30-Sep-2021 (14:40:11)
Tamaulipas,2942931,30-Sep-2021 (14:40:11)
Tlaxcala,850315,30-Sep-2021 (14:40:11)
Veracruz,4638648,30-Sep-2021 (14:40:11)
Yucatán,1949221,30-Sep-2021 (14:40:11)
Zacatecas,1121200,30-Sep-2021 (14:40:11)
Guanajuato,3588613,30-Sep-2021 (14:40:11)
