Estado,vacunados,descarga
Aguascalientes,364949.0,31-May-2021 (13:47:07)
Baja California,725739.0,31-May-2021 (13:47:07)
Baja California Sur,186528.0,31-May-2021 (13:47:07)
Campeche,245474.0,31-May-2021 (13:47:07)
Chiapas,621090.0,31-May-2021 (13:47:07)
Chihuahua,865741.0,31-May-2021 (13:47:07)
Coahuila,810509.0,31-May-2021 (13:47:07)
Colima,191062.0,31-May-2021 (13:47:07)
CDMX,4017462.0,31-May-2021 (13:47:07)
Durango,443980.0,31-May-2021 (13:47:07)
Guerrero,723569.0,31-May-2021 (13:47:07)
Hidalgo,736433.0,31-May-2021 (13:47:07)
Jalisco,1523835.0,31-May-2021 (13:47:07)
Estado de México,3443990.0,31-May-2021 (13:47:07)
Michoacán,974106.0,31-May-2021 (13:47:07)
Morelos,516179.0,31-May-2021 (13:47:07)
Nayarit,314225.0,31-May-2021 (13:47:07)
Nuevo León,1424449.0,31-May-2021 (13:47:07)
Oaxaca,822900.0,31-May-2021 (13:47:07)
Puebla,979686.0,31-May-2021 (13:47:07)
Querétaro,,31-May-2021 (13:47:07)
Quintana Roo,308862.0,31-May-2021 (13:47:07)
San Luis Potosí,727568.0,31-May-2021 (13:47:07)
Sinaloa,859471.0,31-May-2021 (13:47:07)
Sonora,632056.0,31-May-2021 (13:47:07)
Tabasco,514424.0,31-May-2021 (13:47:07)
Tamaulipas,868424.0,31-May-2021 (13:47:07)
Tlaxcala,291858.0,31-May-2021 (13:47:07)
Veracruz,1552291.0,31-May-2021 (13:47:07)
Yucatán,621093.0,31-May-2021 (13:47:07)
Zacatecas,413797.0,31-May-2021 (13:47:07)
Guanajuato,1307686.0,31-May-2021 (13:47:07)
