Estado,vacunados,descarga
Aguascalientes,401501.0,09-Jun-2021 (21:59:29)
Baja California,877750.0,09-Jun-2021 (21:59:29)
Baja California Sur,228665.0,09-Jun-2021 (21:59:29)
Campeche,269908.0,09-Jun-2021 (21:59:29)
Chiapas,647216.0,09-Jun-2021 (21:59:29)
Chihuahua,1036994.0,09-Jun-2021 (21:59:29)
Coahuila,908968.0,09-Jun-2021 (21:59:29)
Colima,248409.0,09-Jun-2021 (21:59:29)
CDMX,4714855.0,09-Jun-2021 (21:59:29)
Durango,540950.0,09-Jun-2021 (21:59:29)
Guerrero,815425.0,09-Jun-2021 (21:59:29)
Hidalgo,910034.0,09-Jun-2021 (21:59:29)
Jalisco,1726218.0,09-Jun-2021 (21:59:29)
Estado de México,4631804.0,09-Jun-2021 (21:59:29)
Michoacán,1022955.0,09-Jun-2021 (21:59:29)
Morelos,581356.0,09-Jun-2021 (21:59:29)
Nayarit,360404.0,09-Jun-2021 (21:59:29)
Nuevo León,1827768.0,09-Jun-2021 (21:59:29)
Oaxaca,894387.0,09-Jun-2021 (21:59:29)
Puebla,1142910.0,09-Jun-2021 (21:59:29)
Querétaro,,09-Jun-2021 (21:59:29)
Quintana Roo,396102.0,09-Jun-2021 (21:59:29)
San Luis Potosí,786487.0,09-Jun-2021 (21:59:29)
Sinaloa,1007334.0,09-Jun-2021 (21:59:29)
Sonora,813714.0,09-Jun-2021 (21:59:29)
Tabasco,707830.0,09-Jun-2021 (21:59:29)
Tamaulipas,1014308.0,09-Jun-2021 (21:59:29)
Tlaxcala,346707.0,09-Jun-2021 (21:59:29)
Veracruz,1801498.0,09-Jun-2021 (21:59:29)
Yucatán,868583.0,09-Jun-2021 (21:59:29)
Zacatecas,544532.0,09-Jun-2021 (21:59:29)
Guanajuato,1694773.0,09-Jun-2021 (21:59:29)
